vehicle_age_years,mileage_km,brand_tier,accident_count,service_history,ownership_count,vehicle_color,feature_package,market_demand,fuel_type,transmission,body_type,resale_value_usd
13.0,238276.06629839397,Budget,1.0,Complete,3.0,Other,Base,Medium,Petrol,Manual,Truck,77840.07589429255
4.0,112096.61874067452,Mainstream,1.0,Complete,4.0,Other,Premium,,Diesel,Manual,Sedan,69543.39380165322
18.0,140140.17991579018,Luxury,0.0,None,1.0,White,Luxury,High,Electric,Manual,Convertible,
16.0,188415.1537190471,Premium,2.0,Complete,2.0,Black,Mid,Low,Electric,Manual,Truck,35455.2138250883
10.0,182645.77526169777,Luxury,0.0,,3.0,Other,Mid,Low,Petrol,Manual,Truck,35287.69392163142
2.0,147826.31884016935,Budget,1.0,Partial,4.0,Blue,Luxury,Medium,Petrol,Manual,SUV,69212.36855950343
14.0,215903.84575730155,Mainstream,3.0,Partial,2.0,Silver,Premium,High,Diesel,Automatic,SUV,
2.0,157924.4206905028,Mainstream,0.0,Partial,4.0,Silver,Premium,Medium,Diesel,Automatic,,66593.96749933722
18.0,219315.91761020687,Luxury,1.0,Complete,4.0,Silver,Base,Low,Hybrid,Automatic,Coupe,45975.09971355154
1.0,79177.60889271343,Budget,1.0,Partial,1.0,Red,Base,Medium,Hybrid,Manual,,10497.185139666015
13.0,37345.800843767225,Premium,0.0,Complete,1.0,Red,Mid,Low,Hybrid,Automatic,Truck,76495.2794467868
6.0,205782.51185457094,,2.0,Partial,3.0,Blue,Mid,,Electric,Manual,Sedan,69223.5266167912
17.0,98716.88745385279,Mainstream,2.0,Complete,4.0,Other,Premium,Medium,Petrol,Automatic,SUV,67788.63535275779
17.0,,Budget,0.0,Complete,2.0,Other,Base,Low,Petrol,Automatic,Sedan,
11.0,185641.24313505035,Mainstream,0.0,None,3.0,Silver,Premium,Low,Hybrid,Automatic,SUV,37432.196152238146
6.0,85044.066479676,Budget,1.0,Partial,1.0,White,Luxury,High,Hybrid,Manual,,12213.956834780063
3.0,128765.03019965957,Budget,0.0,Complete,3.0,Other,Mid,Medium,Diesel,Manual,SUV,75216.21974620428
14.0,224256.9962091785,Premium,0.0,Partial,3.0,Silver,Mid,Medium,,Manual,Sedan,75629.04597153146
6.0,220549.3426334256,Budget,0.0,Partial,4.0,Blue,Premium,Medium,Petrol,Manual,Truck,22591.977625276173
17.0,188592.4839906273,Luxury,1.0,Partial,2.0,Silver,Base,Low,Diesel,Manual,Truck,56592.601444950036
3.0,191871.1853261581,Premium,0.0,None,1.0,Black,Base,Low,Hybrid,Manual,Convertible,18668.709780857705
17.0,224932.69002492636,Budget,1.0,Partial,3.0,Silver,,Low,Electric,Manual,Sedan,33256.92518834975
19.0,185401.43488602946,Budget,0.0,Complete,3.0,Other,Luxury,Medium,Hybrid,Automatic,Coupe,26283.36565052735
18.0,88198.41302935638,Premium,1.0,,4.0,Other,Luxury,High,Electric,Automatic,Convertible,32998.50682268973
5.0,34591.756511804575,Mainstream,0.0,Complete,,White,Premium,Medium,Hybrid,Automatic,Sedan,26790.89855778636
15.0,108361.60449381064,Premium,1.0,,2.0,Blue,Mid,Medium,Diesel,Manual,Coupe,29587.432075637396
3.0,26399.136884150703,Mainstream,4.0,None,4.0,Blue,Premium,Medium,Electric,Manual,Truck,63911.64005661957
8.0,33363.84036274316,Premium,2.0,Partial,1.0,White,Premium,High,Electric,Automatic,Truck,26102.089902641907
7.0,237792.16274495955,Premium,0.0,None,3.0,Blue,Base,Medium,Diesel,Automatic,Truck,65731.5507598472
18.0,170592.30534761,Luxury,0.0,Complete,3.0,,Luxury,High,Electric,Manual,Coupe,46730.00775556929
,213644.13161522328,Premium,3.0,Complete,4.0,Blue,Mid,High,Diesel,Automatic,SUV,63094.24741180797
10.0,162510.3023520052,Luxury,0.0,Complete,3.0,Silver,Luxury,Medium,Hybrid,Manual,Sedan,73754.58008491725
19.0,107542.30695801742,Budget,0.0,Complete,1.0,Blue,Luxury,Medium,Diesel,Manual,Convertible,13658.721189104388
1.0,11163.901703087777,Mainstream,3.0,Partial,2.0,,Luxury,Medium,Diesel,Automatic,Convertible,29479.54932099446
2.0,239180.07405888417,Mainstream,0.0,Partial,2.0,Silver,Mid,Low,Diesel,,Truck,7277.927177259347
1.0,22378.455652882403,Luxury,0.0,Partial,4.0,Silver,Base,High,Diesel,Automatic,SUV,34332.0726879947
9.0,154489.951174859,Mainstream,0.0,Partial,3.0,Other,Mid,Medium,Petrol,Manual,Sedan,21280.025665520527
15.0,30039.78687397627,Mainstream,1.0,Partial,4.0,White,Mid,High,Electric,Manual,Sedan,
18.0,74616.18125444425,Premium,1.0,None,4.0,White,Base,Low,Hybrid,Automatic,Convertible,63321.01867348271
